OutfitId,OutfitSet,OutfitUrl
16412366,"['橙色top', '白色top', '白色pants']",https://wear.tw/genji/16412366/
16399159,"['橘色outerwear', '白色top', '橘色top', '黑色pants']",https://wear.tw/genji/16399159/
16398752,"['黑色outerwear', '白色top', '白色top', '橙色pants']",https://wear.tw/genji/16398752/
16394881,"['橘色outerwear', '灰色top', '白色top', '黑色pants']",https://wear.tw/genji/16394881/
16387197,"['黑色outerwear', '橘色top', '橘色top', '橘色top', '黑色pants']",https://wear.tw/genji/16387197/
16382194,"['橘色outerwear', '橘色top', '白色top', '白色pants']",https://wear.tw/genji/16382194/
16346949,[],https://wear.tw/genji/16346949/
16347043,"['藍色outerwear', '灰色top', '橘色top', '黑色pants']",https://wear.tw/genji/16347043/
16349264,"['橙色outerwear', '橙色top', '白色top', '黑色pants']",https://wear.tw/genji/16349264/
16348911,"['黑色outerwear', '灰色top', '白色top', '黑色pants']",https://wear.tw/genji/16348911/
16334828,"['藍色outerwear', '橙色top', '白色top', '橘色pants']",https://wear.tw/genji/16334828/
16334779,"['藍色top', '黑色pants']",https://wear.tw/genji/16334779/
16334531,"['綠色outerwear', '白色top', '白色top', '綠色pants']",https://wear.tw/genji/16334531/
16325507,"['藍色outerwear', '橘色top', '黑色pants']",https://wear.tw/genji/16325507/
16322408,"['橘色top', '白色top', '橘色pants']",https://wear.tw/genji/16322408/
16312831,"['綠色outerwear', '白色top', '綠色pants']",https://wear.tw/genji/16312831/
16309715,"['藍色outerwear', '橙色top', '白色top', '灰色pants']",https://wear.tw/genji/16309715/
16304101,"['灰色outerwear', '藍色top', '白色top']",https://wear.tw/genji/16304101/
16295787,"['黑色outerwear', '白色top', '白色top']",https://wear.tw/genji/16295787/
16290511,"['橘色top', '白色top', '橘色pants']",https://wear.tw/genji/16290511/
16284239,"['橘色outerwear', '白色top', '橘色top', '橙色pants']",https://wear.tw/genji/16284239/
16277267,"['灰色outerwear', '橘色top', '橘色top', '黑色pants']",https://wear.tw/genji/16277267/
16274919,"['橘色outerwear', '橘色top', '白色top']",https://wear.tw/genji/16274919/
